"","survey_series_id","survey_series_desc","survey_id","survey_desc","year","fishing_event_id","latitude","longitude","grouping_code","grouping_desc","grouping_depth_id","fe_end_deployment_time","fe_fishing_ground_comment","fe_begin_retrieval_time","depth_m","fe_bottom_water_temperature","trip_start_date","trip_end_date","hook_code","skate_count","lglsp_hook_count","area_swept_km2","trip_id","species_code","catch_count"
"1",76,"Strait of Georgia Dogfish Longline",498,"1986 Strait of Georgia Dogfish Longline Survey",1986,3369476,48.932666,-123.3555,331,"SoG Dogfish 166 - 220 m","4",1986-10-17 12:17:00,"Active Pass",1986-10-17 14:38:00,183,NA,1986-10-15,1986-10-30,3,NA,500,0.0111483648,75250,"044",158
"2",76,"Strait of Georgia Dogfish Longline",498,"1986 Strait of Georgia Dogfish Longline Survey",1986,3369476,48.932666,-123.3555,331,"SoG Dogfish 166 - 220 m","4",1986-10-17 12:17:00,"Active Pass",1986-10-17 14:38:00,183,NA,1986-10-15,1986-10-30,3,NA,500,0.0111483648,75250,"059",1
"3",76,"Strait of Georgia Dogfish Longline",498,"1986 Strait of Georgia Dogfish Longline Survey",1986,3369477,48.986,-123.417,332,"SoG Dogfish > 220 m","5",1986-10-17 16:04:00,"Active Pass",1986-10-17 18:25:00,241,NA,1986-10-15,1986-10-30,3,NA,485,0.010813913856,75250,"044",113
"4",76,"Strait of Georgia Dogfish Longline",498,"1986 Strait of Georgia Dogfish Longline Survey",1986,3369477,48.986,-123.417,332,"SoG Dogfish > 220 m","5",1986-10-17 16:04:00,"Active Pass",1986-10-17 18:25:00,241,NA,1986-10-15,1986-10-30,3,NA,485,0.010813913856,75250,"066",1
"5",76,"Strait of Georgia Dogfish Longline",498,"1986 Strait of Georgia Dogfish Longline Survey",1986,3369478,49.165833,-123.2965,328,"SoG Dogfish 0 - 55 m","1",1986-10-18 07:43:00,"Sturgeon Bank",1986-10-18 09:58:00,44,NA,1986-10-15,1986-10-30,3,NA,500,0.0111483648,75250,"044",113
"6",76,"Strait of Georgia Dogfish Longline",498,"1986 Strait of Georgia Dogfish Longline Survey",1986,3369478,49.165833,-123.2965,328,"SoG Dogfish 0 - 55 m","1",1986-10-18 07:43:00,"Sturgeon Bank",1986-10-18 09:58:00,44,NA,1986-10-15,1986-10-30,3,NA,500,0.0111483648,75250,"056",1
"7",76,"Strait of Georgia Dogfish Longline",498,"1986 Strait of Georgia Dogfish Longline Survey",1986,3369478,49.165833,-123.2965,328,"SoG Dogfish 0 - 55 m","1",1986-10-18 07:43:00,"Sturgeon Bank",1986-10-18 09:58:00,44,NA,1986-10-15,1986-10-30,3,NA,500,0.0111483648,75250,"455",2
"8",76,"Strait of Georgia Dogfish Longline",498,"1986 Strait of Georgia Dogfish Longline Survey",1986,3369479,49.185333,-123.301833,329,"SoG Dogfish 56 - 110 m","2",1986-10-18 08:45:00,"Sturgeon Bank",1986-10-18 10:42:00,70,NA,1986-10-15,1986-10-30,3,NA,500,0.0111483648,75250,"044",103
"9",76,"Strait of Georgia Dogfish Longline",498,"1986 Strait of Georgia Dogfish Longline Survey",1986,3369479,49.185333,-123.301833,329,"SoG Dogfish 56 - 110 m","2",1986-10-18 08:45:00,"Sturgeon Bank",1986-10-18 10:42:00,70,NA,1986-10-15,1986-10-30,3,NA,500,0.0111483648,75250,"059",1
"10",76,"Strait of Georgia Dogfish Longline",498,"1986 Strait of Georgia Dogfish Longline Survey",1986,3369479,49.185333,-123.301833,329,"SoG Dogfish 56 - 110 m","2",1986-10-18 08:45:00,"Sturgeon Bank",1986-10-18 10:42:00,70,NA,1986-10-15,1986-10-30,3,NA,500,0.0111483648,75250,"455",1
"11",76,"Strait of Georgia Dogfish Longline",498,"1986 Strait of Georgia Dogfish Longline Survey",1986,3369482,49.183,-123.302333,329,"SoG Dogfish 56 - 110 m","2",1986-10-18 14:30:00,"Sturgeon Bank",1986-10-18 17:18:00,91,NA,1986-10-15,1986-10-30,3,NA,500,0.0111483648,75250,"044",120
"12",76,"Strait of Georgia Dogfish Longline",498,"1986 Strait of Georgia Dogfish Longline Survey",1986,3369482,49.183,-123.302333,329,"SoG Dogfish 56 - 110 m","2",1986-10-18 14:30:00,"Sturgeon Bank",1986-10-18 17:18:00,91,NA,1986-10-15,1986-10-30,3,NA,500,0.0111483648,75250,"059",2
"13",76,"Strait of Georgia Dogfish Longline",498,"1986 Strait of Georgia Dogfish Longline Survey",1986,3369482,49.183,-123.302333,329,"SoG Dogfish 56 - 110 m","2",1986-10-18 14:30:00,"Sturgeon Bank",1986-10-18 17:18:00,91,NA,1986-10-15,1986-10-30,3,NA,500,0.0111483648,75250,"455",1
"14",76,"Strait of Georgia Dogfish Longline",498,"1986 Strait of Georgia Dogfish Longline Survey",1986,3369483,49.235,-123.413333,332,"SoG Dogfish > 220 m","5",1986-10-18 16:07:00,"Sturgeon Bank",1986-10-18 18:39:00,267,NA,1986-10-15,1986-10-30,3,NA,485,0.010813913856,75250,"044",119
"15",76,"Strait of Georgia Dogfish Longline",498,"1986 Strait of Georgia Dogfish Longline Survey",1986,3369483,49.235,-123.413333,332,"SoG Dogfish > 220 m","5",1986-10-18 16:07:00,"Sturgeon Bank",1986-10-18 18:39:00,267,NA,1986-10-15,1986-10-30,3,NA,485,0.010813913856,75250,"455",1
"16",76,"Strait of Georgia Dogfish Longline",498,"1986 Strait of Georgia Dogfish Longline Survey",1986,3369484,49.397166,-123.676,331,"SoG Dogfish 166 - 220 m","4",1986-10-19 07:36:00,"Halibut Banks",1986-10-19 09:56:00,174,NA,1986-10-15,1986-10-30,3,NA,500,0.0111483648,75250,"044",92
"17",76,"Strait of Georgia Dogfish Longline",498,"1986 Strait of Georgia Dogfish Longline Survey",1986,3369484,49.397166,-123.676,331,"SoG Dogfish 166 - 220 m","4",1986-10-19 07:36:00,"Halibut Banks",1986-10-19 09:56:00,174,NA,1986-10-15,1986-10-30,3,NA,500,0.0111483648,75250,"059",1
"18",76,"Strait of Georgia Dogfish Longline",498,"1986 Strait of Georgia Dogfish Longline Survey",1986,3369484,49.397166,-123.676,331,"SoG Dogfish 166 - 220 m","4",1986-10-19 07:36:00,"Halibut Banks",1986-10-19 09:56:00,174,NA,1986-10-15,1986-10-30,3,NA,500,0.0111483648,75250,"455",2
"19",76,"Strait of Georgia Dogfish Longline",499,"1989 Strait of Georgia Dogfish Longline Survey",1989,3369543,49.174166,-123.778166,328,"SoG Dogfish 0 - 55 m","1",1989-10-10 12:44:00,"Gabriola Island",1989-10-10 15:45:00,9,NA,1989-10-10,1989-10-26,3,NA,501,0.0111706615296,75251,"044",190
"20",76,"Strait of Georgia Dogfish Longline",499,"1989 Strait of Georgia Dogfish Longline Survey",1989,3369543,49.174166,-123.778166,328,"SoG Dogfish 0 - 55 m","1",1989-10-10 12:44:00,"Gabriola Island",1989-10-10 15:45:00,9,NA,1989-10-10,1989-10-26,3,NA,501,0.0111706615296,75251,"059",7
"21",76,"Strait of Georgia Dogfish Longline",499,"1989 Strait of Georgia Dogfish Longline Survey",1989,3369543,49.174166,-123.778166,328,"SoG Dogfish 0 - 55 m","1",1989-10-10 12:44:00,"Gabriola Island",1989-10-10 15:45:00,9,NA,1989-10-10,1989-10-26,3,NA,501,0.0111706615296,75251,"4GA",33
